"","block.address","Vacant_Pr","Occupied_Pr","NumofBuilding","SURA","Units","YearBuilt","AssessedVa","Aggravated.assault","Arson","Burglary","Larceny","Murder","Robbery","Vehicle.theft","Total"
"100 block coyne circle","100 block coyne circle",0,1,2,2,1,1993,57500,0,0,0,0,0,0,0,0
"100 block craddock st","100 block craddock st",0,1,5,5,1.2,1935,49820,0,0,0,0,0,0,0,0
"100 block crafton av","100 block crafton av",0,1,4,0,1,1950.75,66550,0,0,0,0,0,0,0,0
"100 block craig st","100 block craig st",0,1,5,5,1.2,1924,52380,0,0,0,0,0,0,0,0
"100 block craton st","100 block craton st",0,1,11,11,1.36363636363636,1937,62327.2727272727,0,0,0,11,0,0,0,11
"100 block crawford av","100 block crawford av",0,1,14,0,1,1927.35714285714,136114.285714286,0,0,0,14,0,0,0,14
"100 block crehange st","100 block crehange st",0,1,2,2,1,1926,27300,0,0,0,0,0,0,0,0
"100 block crescent av","100 block crescent av",0,1,4,4,1,1907.5,32775,0,0,0,0,0,0,0,0
"100 block cresline dr","100 block cresline dr",0,1,25,0,1.08,1939.84,78076,0,0,0,50,0,0,0,50
"100 block crestview dr","100 block crestview dr",0,1,19,0,1,1955.31578947368,71594.7368421053,0,0,0,0,0,0,0,0
"100 block crippen av","100 block crippen av",0,1,5,5,1.8,1948.4,58560,0,0,0,0,0,0,0,0
"100 block crippen pl","100 block crippen pl",0,1,4,4,3.25,1922.5,83750,0,0,0,0,0,0,0,0
"100 block croly st","100 block croly st",0.111111111111111,0.888888888888889,9,9,4,1954.77777777778,73322.2222222222,36,9,9,27,0,0,9,90
"100 block crossett st","100 block crossett st",0,1,2,0,1,1905,137500,0,0,0,0,0,0,0,0
"100 block croyden rd","100 block croyden rd",0,1,5,0,1,1944.4,111800,0,0,0,0,0,0,0,0
"100 block crysler st","100 block crysler st",0,1,8,0,1.125,1875,56525,0,0,0,8,0,0,0,8
"100 block culbert st","100 block culbert st",0.0952380952380952,0.904761904761905,63,63,1.19047619047619,1906.44444444444,47903.9682539683,63,0,63,126,0,0,0,252
"100 block cumberland av","100 block cumberland av",0.0588235294117647,0.941176470588235,17,0,1.64705882352941,1923.52941176471,63723.5294117647,0,0,0,0,0,0,0,0
"100 block cummings av","100 block cummings av",0.25,0.75,4,4,1.5,1878.25,38625,0,0,0,0,0,0,0,0
"100 block curtis st","100 block curtis st",0,1,7,7,1.42857142857143,1925.71428571429,47614.2857142857,0,0,0,7,0,0,0,7
"100 block daisy st","100 block daisy st",0,1,3,3,1.33333333333333,1899.66666666667,22400,0,0,0,3,0,0,0,3
"100 block dakota st","100 block dakota st",0,1,2,0,1,1955,81400,0,0,0,0,0,0,0,0
"100 block dale st","100 block dale st",0.0588235294117647,0.941176470588235,17,0,1.17647058823529,1911.23529411765,63111.7647058823,0,0,0,17,0,0,0,17
"100 block darlington rd","100 block darlington rd",0,1,30,0,1.06666666666667,1923,62650,0,0,0,60,0,0,0,60
"100 block davis st","100 block davis st",0.105263157894737,0.894736842105263,19,19,1.78947368421053,1917.10526315789,31352.6315789474,19,0,0,0,0,0,19,38
"100 block dawes av","100 block dawes av",0.111111111111111,0.888888888888889,27,27,1,1950.55555555556,51511.1111111111,0,0,0,0,0,0,0,0
"100 block dearborn pl","100 block dearborn pl",0.214285714285714,0.785714285714286,14,14,1.5,1923.35714285714,41071.4285714286,28,0,42,28,0,0,0,98
"100 block delaware st","100 block delaware st",0.428571428571429,0.571428571428571,7,7,2.14285714285714,1919.35714285714,37214.2857142857,0,0,14,7,0,0,7,28
"100 block dell st","100 block dell st",0,1,8,0,2.75,1908.25,81325,0,0,0,0,0,0,0,0
"100 block delong av","100 block delong av",0.0645161290322581,0.935483870967742,31,31,1.48387096774194,1909.67741935484,52380.6451612903,62,0,31,31,0,0,0,124
"100 block delray av","100 block delray av",0.0344827586206897,0.96551724137931,29,0,1,1941.68965517241,64944.8275862069,0,0,0,29,0,0,0,29
"100 block demong dr","100 block demong dr",0,1,2,0,1,1952,76500,0,0,0,0,0,0,0,0
"100 block depalma av","100 block depalma av",0,1,16,16,1.0625,1978.375,49187.5,0,0,0,16,0,16,0,32
"100 block dewey pl","100 block dewey pl",0.0909090909090909,0.909090909090909,11,11,1.90909090909091,1919,45890.9090909091,0,0,0,0,0,0,0,0
"100 block dewitt rd","100 block dewitt rd",0,1,12,0,1,1939.58333333333,153833.333333333,0,0,0,0,0,0,0,0
"100 block dewitt st","100 block dewitt st",0,1,3,1,1,1916.66666666667,282500,0,0,0,3,0,0,0,3
"100 block diana av","100 block diana av",0,1,14,0,1,1961.92857142857,87557.1428571429,0,0,0,0,0,0,0,0
"100 block didama st","100 block didama st",0.0384615384615385,0.961538461538462,26,26,1.23076923076923,1926.73076923077,59226.9230769231,0,0,26,0,0,0,0,26
"100 block dillaye av","100 block dillaye av",0,1,4,0,2.25,1913.75,65025,0,0,0,0,0,0,0,0
"100 block dodge dr","100 block dodge dr",0,1,3,0,1,1950,113933.333333333,0,0,0,0,0,0,0,0
"100 block doll pkwy","100 block doll pkwy",0.0357142857142857,0.964285714285714,28,0,1,1954.28571428571,80596.4285714286,0,0,0,56,0,0,0,56
"100 block dorchester av","100 block dorchester av",0,1,5,0,1,1946,85800,0,0,0,0,0,0,0,0
